Fila,Jan2019,Fev2019,Mar2019,Abr2019,Mai2019,Jun2019,Jul2019,Ago2019,Set2019,Out2019,Nov2019,Dez2019,Jan2020,Fev2020,Mar2020,Abr2020,Mai2020,Jun2020,Jul2020,Ago2020,Set2020,Out2020,Nov2020
Suporte,8,13,11,14,5,6,11,12,6,14,6,6,1,9,11,7,31,8,6,10,7,4,2
SIGAA,0,0,1,6,3,4,5,4,0,5,6,5,5,3,5,13,98,31,9,19,22,9,2
SIGAA_Assistência,3,9,7,11,7,4,4,6,9,4,2,5,3,8,2,1,1,1,2,0,7,5,0
SIGAA_Biblioteca,8,15,5,12,12,7,8,8,11,7,11,6,10,8,21,4,0,1,3,14,18,13,0
SIGAA_Diplomas,0,1,1,2,0,1,3,2,0,0,2,1,0,0,1,0,3,0,1,4,1,2,1
SIGAA_Estágio,9,19,8,22,10,10,7,5,6,9,8,7,6,1,5,2,4,6,2,4,3,8,1
SIGAA_Extensão,8,29,9,10,6,6,20,14,7,10,4,3,14,13,24,13,15,9,10,4,9,5,3
SIGAA_Graduação,19,64,32,43,54,42,29,54,61,61,50,24,18,25,58,72,47,64,26,67,40,40,12
SIGAA_Infantil,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,2,2,1,1,2,0,0
SIGAA_Monitoria,2,17,2,6,4,5,1,0,0,4,12,3,0,0,3,1,4,1,1,2,0,3,0
SIGAA_NEE,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,6,1
SIGAA_Pesquisa,11,4,14,35,55,57,35,18,7,13,9,8,13,22,20,28,95,31,46,16,22,6,6
SIGAA_Pós (Stricto e Latu),15,30,17,30,23,19,18,15,16,25,13,19,9,19,25,22,21,24,19,43,38,31,10
SIGAA_Residência,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0
SIGAA_Técnico,4,13,5,6,6,8,4,3,6,9,6,6,3,13,7,5,6,8,4,11,9,6,2
SIGELEICAO,2,3,2,2,1,2,2,0,2,0,0,1,0,0,7,8,11,6,11,18,20,21,6
SIGEVENTOS,1,8,7,9,6,4,3,3,4,1,8,3,1,2,0,2,13,40,29,11,19,17,9
SIGPP,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SIGRH,13,19,21,12,11,7,19,39,50,78,83,27,27,18,30,21,21,19,23,21,10,8,10
SIGRH_AvaliaçãoDesempenho,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1
SIGRH_Frequência,0,0,0,0,0,0,0,0,0,1,3,28,53,44,32,28,25,27,8,7,8,6,4
SIGRH_Férias,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,1,0,0,0,7,11
SIPAC,55,108,66,83,81,94,102,83,89,69,67,57,69,98,63,58,77,78,63,115,79,67,34
SIPE,11,14,29,20,9,14,21,44,12,10,5,2,0,0,0,0,1,2,1,1,2,0,0
